n	real_n	max_n	Time (s)	m	r
267.0	267.0	330.0	0.5532464981079102	11.0	4.0
270.0	270.0	330.0	0.5769426822662354	11.0	4.0
273.0	273.0	330.0	0.5902948379516602	11.0	4.0
277.0	277.0	330.0	0.5953707695007324	11.0	4.0
280.0	280.0	330.0	0.6112749576568604	11.0	4.0
283.0	283.0	330.0	0.6419050693511963	11.0	4.0
287.0	287.0	330.0	0.6522057056427002	11.0	4.0
290.0	290.0	330.0	0.6738276481628418	11.0	4.0
293.0	293.0	330.0	0.7088797092437744	11.0	4.0
297.0	297.0	330.0	0.7529966831207275	11.0	4.0
300.0	300.0	330.0	0.7338471412658691	11.0	4.0
303.0	303.0	330.0	20.739417552947998	11.0	4.0
306.0	306.0	330.0	1.177558422088623	11.0	4.0
310.0	310.0	330.0	4.312983751296997	11.0	4.0
313.0	0.0	330.0	400.00147676467896	11.0	4.0
316.0	316.0	330.0	321.13078594207764	11.0	4.0
320.0	0.0	330.0	400.0006310939789	11.0	4.0
323.0	0.0	330.0	400.0007028579712	11.0	4.0
326.0	0.0	330.0	400.00061225891113	11.0	4.0
277.0	277.0	462.0	0.6084928512573242	11.0	5.0
281.0	281.0	462.0	0.604240894317627	11.0	5.0
286.0	286.0	462.0	0.6142146587371826	11.0	5.0
291.0	291.0	462.0	0.6323060989379883	11.0	5.0
295.0	295.0	462.0	0.6914567947387695	11.0	5.0
300.0	300.0	462.0	0.6949131488800049	11.0	5.0
304.0	304.0	462.0	0.7009291648864746	11.0	5.0
309.0	309.0	462.0	0.7677185535430908	11.0	5.0
314.0	314.0	462.0	0.7484161853790283	11.0	5.0
318.0	318.0	462.0	0.7603058815002441	11.0	5.0
323.0	323.0	462.0	0.8063099384307861	11.0	5.0
328.0	328.0	462.0	0.8049254417419434	11.0	5.0
332.0	332.0	462.0	0.8324980735778809	11.0	5.0
337.0	337.0	462.0	0.8438129425048828	11.0	5.0
341.0	341.0	462.0	0.8928461074829102	11.0	5.0
346.0	346.0	462.0	0.8911936283111572	11.0	5.0
351.0	351.0	462.0	0.9119706153869629	11.0	5.0
